iter	RMSE
0	0.9610261257
1	0.9239582037
2	0.889071621
3	0.8554607632
4	0.8246791915
5	0.7941514632
6	0.7672174951
7	0.7398545478
8	0.7153181134
9	0.6919483357
10	0.6689218578
11	0.646952082
12	0.6268674312
13	0.6069375506
14	0.5894766177
15	0.5722541448
16	0.55712149
17	0.5418759925
18	0.5275499953
19	0.5144372476
20	0.50182782
21	0.4899863538
22	0.4788982246
23	0.4686949156
24	0.459175049
25	0.4502829189
26	0.4417950855
27	0.4342287293
28	0.4270186404
29	0.4198849563
30	0.4134266195
31	0.4076256001
32	0.4020401841
33	0.396863469
34	0.3924317153
35	0.3879346383
36	0.3836000637
37	0.3797974982
38	0.3763110468
39	0.3730536558
40	0.3702436986
41	0.3675329982
42	0.3644787249
43	0.3619127088
44	0.3596453409
45	0.3577837901
46	0.3554375279
47	0.3537592995
48	0.3520004797
49	0.350644568
50	0.3489958742
51	0.3475944863
52	0.3463762557
53	0.3451726809
54	0.3438919027
55	0.3429679008
56	0.3419094282
57	0.3410259466
58	0.3401200417
59	0.339269201
60	0.3384620548
61	0.3376615039
62	0.3368203897
63	0.3360361363
64	0.3349338608
65	0.3341711583
66	0.3335716593
67	0.3329523349
68	0.3318557631
69	0.3310398351
70	0.3303147285
71	0.3297996697
72	0.328914973
73	0.3284563305
74	0.3277021767
75	0.3268096712
76	0.3264734493
77	0.3260969336
78	0.3257383318
79	0.3249949478
80	0.324677518
81	0.3239452217
82	0.3235849773
83	0.3230892944
84	0.3227820254
85	0.3226177672
86	0.3224021648
87	0.322205944
88	0.3219603764
89	0.3217141797
90	0.3214569571
91	0.3209839188
92	0.3206320197
93	0.3201662799
94	0.3198548049
95	0.319746726
96	0.3195768314
97	0.3193752972
98	0.3190916737
99	0.318748694
100	0.3184391221
101	0.3181499068
102	0.3175461524
103	0.3172653366
104	0.3170863671
105	0.316796965
106	0.316679715
107	0.3159937166
108	0.3158059032
109	0.3156660566
110	0.3154379065
111	0.3152977803
112	0.3149577136
113	0.3148363027
114	0.3145116146
115	0.3139863378
116	0.3137593471
117	0.3136014148
118	0.3133817361
119	0.3132586567
120	0.3130436089
121	0.3123662632
122	0.3122342931
123	0.3119492615
124	0.3117093752
125	0.3113312175
126	0.311051159
127	0.3108126119
128	0.3104308222
129	0.3101615089
130	0.3101092213
131	0.3100213365
132	0.3098641298
133	0.3096813126
134	0.3091924094
135	0.3091107195
136	0.3089474056
137	0.3088430371
138	0.308678426
139	0.308505092
140	0.3082415085
141	0.3078476563
142	0.3073679651
143	0.307187073
144	0.306937861
145	0.3067003682
146	0.3064965223
147	0.3063268059
148	0.3061555026
149	0.3059950485
150	0.3055186557
151	0.3053928329
152	0.3051224886
153	0.3049335163
154	0.3045926954
155	0.3044077956
156	0.3041324462
157	0.3038784049
158	0.303743832
159	0.3035493713
160	0.3033475832
161	0.3030895985
162	0.3028726923
163	0.3027004176
164	0.3024828771
165	0.302198651
166	0.3019357866
167	0.3014998128
168	0.300873765
169	0.300753553
170	0.3002336678
171	0.3000697613
172	0.2998153232
173	0.2990129933
174	0.298877583
175	0.2987063859
176	0.2982935341
177	0.2980134891
178	0.297786871
179	0.2975625134
180	0.2972102467
181	0.2971417661
182	0.2969409011
183	0.2964748699
184	0.2963129095
185	0.2961638911
186	0.2958927876
187	0.2957305918
188	0.2955148085
189	0.2953524788
190	0.2951753726
191	0.295011967
192	0.2947865254
193	0.2945750763
194	0.2943329721
195	0.294231002
196	0.2940952066
197	0.2939701218
198	0.2937582404
199	0.2936020988
200	0.2935115539
201	0.2933640976
202	0.2932697835
203	0.293118103
204	0.2926823417
205	0.2925884917
206	0.2924622257
207	0.2922617609
208	0.2919834464
209	0.2917534791
210	0.2916857111
211	0.291572163
212	0.2914177843
213	0.2912700159
214	0.2912144311
215	0.2909329333
216	0.2908330951
217	0.2906837832
218	0.2904666519
219	0.2903671258
220	0.2902569376
221	0.2901358251
222	0.2900460495
223	0.2896760178
224	0.2894704672
225	0.2894170811
226	0.2891075925
227	0.2888342557
228	0.2887194735
229	0.2884257785
230	0.2881814451
231	0.2879114233
232	0.2877992017
233	0.2876487897
234	0.287417142
235	0.2873383145
236	0.2872392402
237	0.2871910578
238	0.287080652
239	0.2867617747
240	0.2865586776
241	0.2863425517
242	0.2861090702
243	0.2860368903
244	0.2859604839
245	0.2857039635
246	0.285334625
247	0.2851158997
248	0.2848393468
249	0.2846994912
250	0.2844066769
251	0.2840759364
252	0.2840313052
253	0.2838075738
254	0.2835272199
255	0.2832449063
256	0.2831742991
257	0.2829191317
258	0.2827413396
259	0.2826528615
260	0.2825863513
261	0.2824569748
262	0.282179459
263	0.2820464186
264	0.2816666751
265	0.2813317597
266	0.2811660996
267	0.2810829262
268	0.2808633065
